lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
,104,0.597890317440033,0.7001758813858032,0.6048317551612854,0.5725777745246887,0.638933002948761,0.5992388129234314,0.6189412474632263,20,,,,,,,
,104,,,,,,,,20,0.6187089681625366,0.6799085140228271,0.6441823840141296,0.5880810022354126,0.6657883524894714,0.6320147514343262,0.6381139755249023
1.0500000000000001e-06,105,,,,,,,,,,,,,,,
,109,0.6190798282623291,0.6837494373321533,0.5507312417030334,0.5668787360191345,0.6207072734832764,0.5840544700622559,0.6042001843452454,21,,,,,,,
,109,,,,,,,,21,0.5882274508476257,0.6962097883224487,0.5921891331672668,0.5492719411849976,0.626277506351471,0.5893695950508118,0.606924295425415
1.1e-06,110,,,,,,,,,,,,,,,
,114,0.5657602548599243,0.6951003670692444,0.5698335766792297,0.574295163154602,0.6306198835372925,0.5976039171218872,0.6055355668067932,22,,,,,,,
,114,,,,,,,,22,0.5757777094841003,0.688842236995697,0.5892811417579651,0.5402271151542664,0.6149178743362427,0.5508443713188171,0.5933151245117188
1.15e-06,115,,,,,,,,,,,,,,,
,119,0.5828661918640137,0.654651939868927,0.5637059211730957,0.5313414931297302,0.6050012707710266,0.5671117901802063,0.5841131210327148,23,,,,,,,
,119,,,,,,,,23,0.5470312833786011,0.675409197807312,0.572749674320221,0.5246880054473877,0.6073468923568726,0.5502228140830994,0.5795746445655823
1.2000000000000002e-06,120,,,,,,,,,,,,,,,
,124,0.5370995402336121,0.6811568140983582,0.5733498930931091,0.5356724858283997,0.5766358971595764,0.540305495262146,0.574036717414856,24,,,,,,,
,124,,,,,,,,24,0.5766748189926147,0.6703870892524719,0.5697216987609863,0.5086556077003479,0.5786408185958862,0.5389081835746765,0.5738313794136047
1.25e-06,125,,,,,,,,,,,,,,,
,129,0.5650292634963989,0.6612767577171326,0.5834847092628479,0.5107589960098267,0.579844057559967,0.5514796376228333,0.5753122568130493,25,,,,,,,
,129,,,,,,,,25,0.5562090873718262,0.6752672791481018,0.5575536489486694,0.5197531580924988,0.5872995853424072,0.521970272064209,0.5696755051612854
1.3e-06,130,,,,,,,,,,,,,,,
,134,0.5906789302825928,0.6574952006340027,0.5283065438270569,0.48874759674072266,0.5774988532066345,0.5138001441955566,0.5594212412834167,26,,,,,,,
,134,,,,,,,,26,0.5696142315864563,0.6610859036445618,0.5371269583702087,0.4851802885532379,0.5669101476669312,0.5088827610015869,0.5548000335693359
1.35e-06,135,,,,,,,,,,,,,,,
,139,0.5545926094055176,0.6506549715995789,0.5294407606124878,0.48559433221817017,0.5869517922401428,0.5133366584777832,0.5534285306930542,27,,,,,,,
,139,,,,,,,,27,0.5594735741615295,0.6765347123146057,0.510327160358429,0.4791257977485657,0.5568563938140869,0.5004360675811768,0.5471255779266357
1.4000000000000001e-06,140,,,,,,,,,,,,,,,
,144,0.5349647998809814,0.6748583316802979,0.4693540632724762,0.4584500789642334,0.5234217047691345,0.4684044420719147,0.5215755701065063,28,,,,,,,
,144,,,,,,,,28,0.5267831087112427,0.6410264372825623,0.48223450779914856,0.46753016114234924,0.5322188138961792,0.49035757780075073,0.5233584642410278
1.45e-06,145,,,,,,,,,,,,,,,
,149,0.5484874844551086,0.6196879744529724,0.5158717632293701,0.4463179409503937,0.5174943804740906,0.48840996623039246,0.5227116346359253,29,,,,,,,
,149,,,,,,,,29,0.5343672633171082,0.6692042350769043,0.4861922562122345,0.4489334523677826,0.5163792371749878,0.4898362457752228,0.5241521596908569
1.5e-06,150,,,,,,,,,,,,,,,
,154,0.541325032711029,0.6319814920425415,0.49810096621513367,0.4621832072734833,0.5351157784461975,0.490508496761322,0.5265358686447144,30,,,,,,,
,154,,,,,,,,30,0.5043773055076599,0.6463101506233215,0.4490603506565094,0.4262273907661438,0.49084803462028503,0.44705161452293396,0.49397918581962585
1.55e-06,155,,,,,,,,,,,,,,,
,159,0.5445654988288879,0.6515702605247498,0.4890235364437103,0.42433539032936096,0.48111796379089355,0.4530847370624542,0.5072829127311707,31,,,,,,,
,159,,,,,,,,31,0.5268869996070862,0.6565799117088318,0.46941232681274414,0.4321199059486389,0.4971531629562378,0.4397531747817993,0.5036509037017822
1.6000000000000001e-06,160,,,,,,,,,,,,,,,
,164,0.5285781025886536,0.6549859046936035,0.4594547748565674,0.4359331727027893,0.46772709488868713,0.44001269340515137,0.4977819621562958,32,,,,,,,
,164,,,,,,,,32,0.511369526386261,0.6513305902481079,0.46261462569236755,0.41676759719848633,0.4555615186691284,0.42471596598625183,0.48705998063087463
1.65e-06,165,,,,,,,,,,,,,,,
,169,0.5095327496528625,0.6152515411376953,0.440316379070282,0.4049975275993347,0.4693819582462311,0.3870196044445038,0.4710833430290222,33,,,,,,,
,169,,,,,,,,33,0.4946528673171997,0.6477530002593994,0.4236133098602295,0.38986122608184814,0.4480392336845398,0.423042893409729,0.4711604416370392
1.7000000000000002e-06,170,,,,,,,,,,,,,,,
,174,0.5137308835983276,0.6114264726638794,0.41470834612846375,0.39198020100593567,0.44043436646461487,0.40627598762512207,0.46309274435043335,34,,,,,,,
,174,,,,,,,,34,0.4779529571533203,0.6247783303260803,0.3942570388317108,0.3390776216983795,0.4271041452884674,0.40417659282684326,0.444557785987854
1.7500000000000002e-06,175,,,,,,,,,,,,,,,
,179,0.5191408395767212,0.6280637383460999,0.4262208342552185,0.35692325234413147,0.434182345867157,0.40203702449798584,0.4610947072505951,35,,,,,,,
,179,,,,,,,,35,0.49408650398254395,0.6399813890457153,0.4220515489578247,0.36303046345710754,0.4147624969482422,0.3918299078941345,0.45429039001464844
1.8e-06,180,,,,,,,,,,,,,,,
,184,0.4829196035861969,0.6119023561477661,0.3973373770713806,0.3297235071659088,0.39728790521621704,0.3547494113445282,0.42898672819137573,36,,,,,,,
,184,,,,,,,,36,0.4794456958770752,0.6303055882453918,0.38663825392723083,0.35804709792137146,0.4122568666934967,0.3533061742782593,0.4366666078567505
